"USPS","GEOID","POP00","HU00","ALAND","AWATER","ALAND_SQMI","AWATER_SQMI","INTPTLAT","INTPTLONG","COUNTY","dcbd","countycode","statecode","tract00"
"TX","48201314100",2398,1791,1118620,0,0.4319,0,29.69643,-95.407484,"Harris",4.95323746690387,"201","48","314100"
"TX","48201314200",3,0,1262379,0,0.4874,0,29.681799,-95.408047,"Harris",5.88296993871714,"201","48","314200"
"TX","48201314300",4497,2451,1444977,0,0.5579,0,29.685851,-95.417658,"Harris",5.88575003900158,"201","48","314300"
"TX","48201320100",2921,966,958732,0,0.3702,0,29.693979,-95.279162,"Harris",7.09768423663193,"201","48","320100"
"TX","48201320200",6981,2246,4058397,0,1.567,0,29.693829,-95.270511,"Harris",7.50819015110823,"201","48","320200"
"TX","48201320300",1877,482,2877419,242986,1.111,0.0938,29.717328,-95.259087,"Harris",7.26204060360198,"201","48","320300"
"TX","48201320400",1,0,3955280,235855,1.5271,0.0911,29.713823,-95.23799,"Harris",8.5210090253994,"201","48","320400"
"TX","48201320500",4392,1236,5848798,0,2.2582,0,29.695079,-95.245425,"Harris",8.70305319443505,"201","48","320500"
"TX","48201320600",8039,2363,2967270,0,1.1457,0,29.680529,-95.260323,"Harris",8.56043150931115,"201","48","320600"
"TX","48201320700",3602,1283,3440796,0,1.3285,0,29.673929,-95.246962,"Harris",9.46885253967144,"201","48","320700"
"TX","48201320800",5320,1551,2913310,0,1.1248,0,29.65968,-95.241169,"Harris",10.3727863161754,"201","48","320800"
"TX","48201320900",7211,2475,2228404,0,0.8604,0,29.64888,-95.235686,"Harris",11.1215780497415,"201","48","320900"
"TX","48201321000",6974,2510,3951627,0,1.5257,0,29.63943,-95.229622,"Harris",11.8378155270672,"201","48","321000"
"TX","48201321100",3645,1815,5676113,0,2.1916,0,29.62488,-95.206538,"Harris",13.5313992894934,"201","48","321100"
"TX","48201321200",2734,1019,2937665,0,1.1342,0,29.63693,-95.203311,"Harris",13.1169264612143,"201","48","321200"
"TX","48201321300",5585,2178,1607054,0,0.6205,0,29.64673,-95.214381,"Harris",12.1724877471073,"201","48","321300"
"TX","48201321400",8251,2597,3994872,0,1.5424,0,29.66203,-95.223958,"Harris",11.0609417920881,"201","48","321400"
"TX","48201321500",2262,799,930838,0,0.3594,0,29.666062,-95.214429,"Harris",11.3560445478952,"201","48","321500"
"TX","48201321600",5835,1986,2717771,0,1.0493,0,29.676829,-95.21866,"Harris",10.7319853429393,"201","48","321600"
"TX","48201321700",2839,1018,2101451,0,0.8114,0,29.679329,-95.236879,"Harris",9.72718210986333,"201","48","321700"
"TX","48201321800",4057,1149,1302880,0,0.503,0,29.688979,-95.237686,"Harris",9.31902939626763,"201","48","321800"
"TX","48201321900",5705,1673,2473003,0,0.9548,0,29.694529,-95.226411,"Harris",9.71483655188954,"201","48","321900"
"TX","48201322000",6045,1950,799490,0,0.3087,0,29.697129,-95.217465,"Harris",10.1136124431944,"201","48","322000"
"TX","48201322100",4027,1359,2164481,0,0.8357,0,29.690629,-95.211485,"Harris",10.6337881878682,"201","48","322100"
"TX","48201322200",1821,588,924221,0,0.3568,0,29.704328,-95.211955,"Harris",10.2145064938927,"201","48","322200"
"TX","48201322300",1206,416,1811757,93364,0.6995,0.036,29.714728,-95.217137,"Harris",9.67057243883057,"201","48","322300"
