GEOID,COUNTY
48201510300,Harris
48201510400,Harris
48201510500,Harris
48201510600,Harris
48201510700,Harris
48201510800,Harris
48201510900,Harris
48201511000,Harris
48201511100,Harris
48201511200,Harris
48201511300,Harris
48201511400,Harris
48201511500,Harris
48201511600,Harris
48201520100,Harris
48201520200,Harris
48201520300,Harris
48201520400,Harris
48201520500,Harris
48201520600,Harris
48201520700,Harris
48201520800,Harris
48201520900,Harris
48201521000,Harris
48201521100,Harris
48201521200,Harris
48201521300,Harris
48201521400,Harris
48201521500,Harris
48201521600,Harris
48201521700,Harris
48201521800,Harris
48201521900,Harris
48201522000,Harris
48201522100,Harris
48201522200,Harris
48201522300,Harris
48201522400,Harris
48201530100,Harris
48201530200,Harris
48201530300,Harris
48201530400,Harris
48201530500,Harris
48201530600,Harris
48201530700,Harris
48201530800,Harris
48201530900,Harris
48201531000,Harris
48201531100,Harris
48201531200,Harris
48201531300,Harris
48201531400,Harris
48201531500,Harris
48201531600,Harris
48201531700,Harris
48201531800,Harris
48201531900,Harris
48201532000,Harris
48201532100,Harris
48201532200,Harris
48201532300,Harris
48201532400,Harris
48201532500,Harris
48201532600,Harris
48201532700,Harris
48201532800,Harris
48201532900,Harris
48201533000,Harris
48201533100,Harris
48201533200,Harris
48201533300,Harris
48201533400,Harris
48201533500,Harris
48201533600,Harris
48201533700,Harris
48201533800,Harris
48201533900,Harris
48201534000,Harris
48201534100,Harris
48201534200,Harris
48201540100,Harris
48201540200,Harris
48201540300,Harris
48201540400,Harris
48201540500,Harris
48201540600,Harris
48201540700,Harris
48201540800,Harris
48201540900,Harris
48201541000,Harris
48201541100,Harris
48201541200,Harris
48201541300,Harris
48201541400,Harris
48201541500,Harris
48201541600,Harris
48201541700,Harris
48201541800,Harris
48201541900,Harris
48201542000,Harris
48201542100,Harris
48201542200,Harris
48201542300,Harris
48201542400,Harris
48201542500,Harris
48201542600,Harris
48201542700,Harris
48201542800,Harris
48201542900,Harris
48201543000,Harris
48201543100,Harris
48201550100,Harris
48201550200,Harris
48201550300,Harris
48201550400,Harris
48201550500,Harris
48201550600,Harris
48201550700,Harris
48201550800,Harris
48201550900,Harris
48201551000,Harris
48201551100,Harris
48201551200,Harris
48201551300,Harris
48201551400,Harris
48201551500,Harris
48201551600,Harris
48201551700,Harris
48201551800,Harris
48201551900,Harris
48201552000,Harris
48201552100,Harris
48201552200,Harris
48201552300,Harris
48201552400,Harris
48201552500,Harris
48201552600,Harris
48201552700,Harris
48201552800,Harris
48201552900,Harris
48201553000,Harris
48201553100,Harris
48201553200,Harris
48201553300,Harris
48201553400,Harris
48201553500,Harris
48201553600,Harris
48201553700,Harris
48201553800,Harris
48201553900,Harris
48201554000,Harris
48201554100,Harris
48201554200,Harris
48201554300,Harris
48201554400,Harris
48201554500,Harris
48201554600,Harris
48201554700,Harris
48201554800,Harris
48201554900,Harris
48201555000,Harris
48201555100,Harris
48201555200,Harris
48201555300,Harris
48201555400,Harris
48201555500,Harris
48201555600,Harris
48201555700,Harris
48201555800,Harris
48201555900,Harris
48291700100,Liberty
48291700200,Liberty
48291700300,Liberty
48291700400,Liberty
48291700500,Liberty
48291700600,Liberty
48291700700,Liberty
48291700800,Liberty
48291700900,Liberty
48291701000,Liberty
48291701100,Liberty
48291701200,Liberty
48291701300,Liberty
48291701400,Liberty
48339690100,Montgomery
48339690200,Montgomery
48339690300,Montgomery
48339690400,Montgomery
48339690500,Montgomery
48339690600,Montgomery
48339690700,Montgomery
48339690800,Montgomery
48339690900,Montgomery
48339691000,Montgomery
48339691100,Montgomery
48339691200,Montgomery
48339691300,Montgomery
48339691400,Montgomery
48339691500,Montgomery
48339691600,Montgomery
48339691700,Montgomery
48339691800,Montgomery
48339691900,Montgomery
48339692000,Montgomery
48339692100,Montgomery
48339692200,Montgomery
48339692300,Montgomery
48339692400,Montgomery
48339692500,Montgomery
48339692600,Montgomery
48339692700,Montgomery
48339692800,Montgomery
48339692900,Montgomery
48339693000,Montgomery
48339693100,Montgomery
48339693200,Montgomery
48339693300,Montgomery
48339693400,Montgomery
48339693500,Montgomery
48339693600,Montgomery
48339693700,Montgomery
48339693800,Montgomery
48339693900,Montgomery
48339694000,Montgomery
48339694100,Montgomery
48339694200,Montgomery
48339694300,Montgomery
48339694400,Montgomery
48339694500,Montgomery
48339694600,Montgomery
48339694700,Montgomery
48407200101,San Jacinto
48407200102,San Jacinto
48407200200,San Jacinto
48407200300,San Jacinto
48473680100,Waller
48473680200,Waller
48473680300,Waller
48473680400,Waller
48473680500,Waller
48473680600,Waller
